MD12,MD3,MD55,MD32,MD15,MD41,MD36,MD63,MD45,MD34,MD30,MD62,MD59,MD38,MD7,MD25,MD23,MD9,MD66,MD54,PCE
1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.295502977
0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.650719604
0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.882368356
2,2,0,0,1,2,1,0,2,6,0,0,1,0,0,0,0,0,0,4,0.213312633
4,2,0,0,3,6,1,0,1,1,2,1,1,0,0,0,0,0,0,3,0.313601153
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.554110355
4,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,3,1.328477827
4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,3.950155704
0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.571045645
2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0.71425835
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.006089907
2,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,3,1.728096944
1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1.967002946
9,0,0,0,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2.682388852
14,1,2,0,6,12,1,0,1,4,0,0,1,0,0,1,0,0,0,8,1.923402534
4,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.901315359
2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0.673174181
2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1.57233961
2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1.580641733
11,1,0,0,5,8,2,0,1,2,1,0,1,0,0,0,0,0,1,2,1.772982624
5,1,0,0,1,2,2,0,2,2,0,0,1,0,0,0,0,0,0,3,0.553981025
6,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1.297329159
2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,1.441579457
3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2.133810707
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.570034368
12,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,16,0.46878974
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.552601923
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.908761611
5,0,0,0,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.037032134
9,0,0,0,3,4,0,0,1,1,0,0,0,0,0,0,0,0,0,4,2.560824159
5,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612476318
0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.056975267
7,0,0,0,3,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2.368836915
